       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32       PRN33       PRN34       PRN35       PRN36
         nan  131.339438  169.948658   51.794687  184.701774         nan  114.277903  120.857942  116.651586   70.095515  104.776826   52.834867  114.898997         nan  122.521129         nan         nan  101.719049   98.773304         nan  104.983507         nan         nan   31.800028  143.444045  112.980238  118.397819         nan         nan  123.146088   28.847105         nan  109.407441  169.987209         nan  145.801746
         nan  131.306440  170.099842   51.878511  184.703149         nan  114.287542  120.902661  116.200047   69.860807  104.777961   53.391194  114.899363         nan  122.578699         nan         nan  101.730024   98.820127         nan  105.063809         nan         nan   32.137965  143.429616  112.980485  118.400102         nan         nan  123.120948   28.763885         nan  109.431236  170.279860         nan  145.732619
         nan  131.273866  170.250196   51.961451  184.704580         nan  114.297232  120.947680  115.741440   69.621856  104.778804   53.945291  114.899743         nan  122.636842         nan         nan  101.740677   98.866734         nan  105.143968         nan         nan   32.472590  143.415930  112.980698  118.402218         nan         nan  123.095920   28.681298         nan  109.454717  170.574099         nan  145.664640
         nan  131.241711  170.399691   52.043522  184.706071         nan  114.306974  120.992995  115.275737   69.378584  104.779347   54.497034  114.900138         nan  122.695554         nan         nan  101.751017   98.913129         nan  105.223978         nan         nan   32.803888  143.402980  112.980878  118.404165         nan         nan  123.071001   28.599362         nan  109.477887  170.869881         nan  145.597809
         nan  131.209971  170.548299   52.124737  184.707624         nan  114.316766  121.038602  114.802913   69.130910  104.779584   55.046302  114.900547         nan  122.754830         nan         nan  101.761051   98.959317         nan  105.303832         nan         nan   33.131845  143.390758  112.981025  118.405943         nan         nan  123.046191   28.518095         nan  109.500750  171.167162         nan  145.532127
         nan  131.178641  170.695991   52.205108  184.709242         nan  114.326608  121.084495  114.322949   68.878757  104.779506   55.592972  114.900971         nan  122.814664         nan         nan  101.770789   99.005302         nan  105.383522         nan         nan   33.456450  143.379259  112.981138  118.407552         nan         nan  123.021488   28.437516         nan  109.523308  171.465893         nan  145.467592
         nan  131.147716  170.842739   52.284647  184.710929         nan  114.336500  121.130669  113.835833   68.622043  104.779106   56.136927  114.901410         nan  122.875052         nan         nan  101.780240   99.051087         nan  105.463043         nan         nan   33.777692  143.368476  112.981219  118.408993         nan         nan  122.996890   28.357642         nan  109.545567  171.766025         nan  145.404205
         nan  131.117192  170.988515   52.363368  184.712685         nan  114.346441  121.177118  113.341559   68.360689  104.778377   56.678047  114.901865         nan  122.935987         nan         nan  101.789410   99.096677         nan  105.542387         nan         nan   34.095564  143.358403  112.981268  118.410264         nan         nan  122.972396   28.278490         nan  109.567529  172.067507         nan  145.341966
         nan  131.087064  171.133292   52.441280  184.714515         nan  114.356431  121.223838  112.840129   68.094613  104.777310   57.216221  114.902334         nan  122.997463         nan         nan  101.798310   99.142074         nan  105.621547         nan         nan   34.410062  143.349037  112.981285  118.411365         nan         nan  122.948006   28.200076         nan  109.589197  172.370287         nan  145.280875
         nan  131.057329  171.277043   52.518396  184.716418         nan  114.366469  121.270822  112.331548   67.823735  104.775898   57.751335  114.902820         nan  123.059474         nan         nan  101.806945   99.187282         nan  105.700515         nan         nan   34.721182  143.340374  112.981270  118.412298         nan         nan  122.923718   28.122418         nan  109.610574  172.674312         nan  145.220931
         nan  131.027983  171.419744   52.594725  184.718396         nan  114.376554  121.318063  111.815831   67.547973  104.774133   58.283282  114.903321         nan  123.122013         nan         nan  101.815324   99.232304         nan  105.779283         nan         nan   35.028927  143.332410  112.981224  118.413061         nan         nan  122.899531   28.045529         nan  109.631664  172.979528         nan  145.162132
         nan  130.999022  171.561372   52.670278  184.720451         nan  114.386685  121.365557  111.292998   67.267245  104.772008   58.811956  114.903837         nan  123.185075         nan         nan  101.823455   99.277143         nan  105.857844         nan         nan   35.333298  143.325143  112.981146  118.413656         nan         nan  122.875445   27.969424         nan  109.652469  173.285882         nan  145.104478
         nan  130.970445  171.701903   52.745066  184.722582         nan  114.396863  121.413297  110.763075   66.981469  104.769515   59.337257  114.904371         nan  123.248653         nan         nan  101.831343   99.321801         nan  105.936190         nan         nan   35.634305  143.318573  112.981037  118.414082         nan         nan  122.851459   27.894118         nan  109.672993  173.593320         nan  145.047966
         nan  130.942248  171.841318   52.819097  184.724790         nan  114.407086  121.461277  110.226096   66.690562  104.766645   59.859086  114.904920         nan  123.312740         nan         nan  101.838996   99.366281         nan  106.014313         nan         nan   35.931955  143.312698  112.980898  118.414341         nan         nan  122.827573   27.819621         nan  109.693237  173.901787         nan  144.992593
         nan  130.914429  171.979597   52.892381  184.727074         nan  114.417353  121.509491  109.682101   66.394442  104.763392   60.377350  114.905486         nan  123.377332         nan         nan  101.846420   99.410584         nan  106.092205         nan         nan   36.226264  143.307519  112.980728  118.414432         nan         nan  122.803785   27.745946         nan  109.713206  174.211230         nan  144.938357
         nan  130.886986  172.116723   52.964926  184.729432         nan  114.427665  121.557934  109.131139   66.093024  104.759748   60.891961  114.906069         nan  123.442421         nan         nan  101.853620   99.454712         nan  106.169859         nan         nan   36.517247  143.303039  112.980528  118.414357         nan         nan  122.780097   27.673104         nan  109.732902  174.521596         nan  144.885254
         nan  130.859917  172.252681   53.036743  184.731864         nan  114.438021  121.606601  108.573262   65.786226  104.755705   61.402834  114.906668         nan  123.508003         nan         nan  101.860604   99.498668         nan  106.247267         nan         nan   36.804925  143.299259  112.980298  118.414117         nan         nan  122.756508   27.601103         nan  109.752327  174.832832         nan  144.833280
         nan  130.833222  172.387458   53.107838  184.734367         nan  114.448419  121.655485  108.008532   65.473962  104.751255   61.909888  114.907285         nan  123.574072         nan         nan  101.867375   99.542451         nan  106.324420         nan         nan   37.089319  143.296183  112.980038  118.413713         nan         nan  122.733017   27.529951         nan  109.771484  175.144889         nan  144.782428
         nan  130.806899  172.521042   53.178220  184.736939         nan  114.458860  121.704582  107.437015   65.156147  104.746391   62.413050  114.907920         nan  123.640624         nan         nan  101.873938   99.586064         nan  106.401312         nan         nan   37.370456  143.293817  112.979749  118.413146         nan         nan  122.709626   27.459656         nan  109.790377  175.457715         nan  144.732694
